id,fixed commit link,buggy commit link,issue link,R version,loc,hunk,changed files,failed tests
1,https://github.com/tidyverse/dplyr/commit/c963d4db08ab4b4e7f75e3b99b04ef5f6e903a25,https://github.com/tidyverse/dplyr/commit/31256972b912a63138dbc564a4ba412ac0b35e99,https://github.com/tidyverse/dplyr/issues/6869,4.3.1,40,8,1,2
2,https://github.com/tidyverse/dplyr/commit/17064af22f89d5e2f80ff0b56ce325b1a5c6d9ef,https://github.com/tidyverse/dplyr/commit/1af0c0ff0dbd5c1bf015f404652285ab75669488,https://github.com/tidyverse/dplyr/issues/6804,4.2.3,1,1,1,12
3,https://github.com/tidyverse/dplyr/commit/2f014b315eababc88e7668d744e83d07b9699664,https://github.com/tidyverse/dplyr/commit/f7cf351ef3ae5d8803f60002a2e85be193d00850,https://github.com/tidyverse/dplyr/issues/6762,4.2.2,3,2,1,1
4,https://github.com/tidyverse/dplyr/commit/3c0adff8681aa59a429da80980265c6245e11dc6,https://github.com/tidyverse/dplyr/commit/da847946794d494d99c2477ceee2c0c46d889451,https://github.com/tidyverse/dplyr/issues/6685,4.2.2,1,1,1,7
5,https://github.com/tidyverse/dplyr/commit/bb1a379ce9b4d5b0be13d31412edc4843891780d,https://github.com/tidyverse/dplyr/commit/36994dfbc37584e7ed5ef6fe051f89c4cdd30df5,https://github.com/tidyverse/dplyr/issues/6678,4.2.2,11,2,2,12
6,https://github.com/tidyverse/dplyr/commit/3b696db432359b29962780580bceddd150a6f997,https://github.com/tidyverse/dplyr/commit/4132fa0686f918f79cf6795a801751a4cc17daec,https://github.com/tidyverse/dplyr/issues/6606,4.2.2,6,1,1,3
7,https://github.com/tidyverse/dplyr/commit/2bcffe229f2442270a233d91a10d3bedd8fcda19,https://github.com/tidyverse/dplyr/commit/dfaae0a9c974614c470c61ef14881191d027aa83,https://github.com/tidyverse/dplyr/issues/6599,4.2.2,14,14,1,1
8,https://github.com/tidyverse/dplyr/commit/e9f5b56ca45e758aa3fcbbf299ec56177a797b0a,https://github.com/tidyverse/dplyr/commit/b0fb0f8d7c9b984824292404d0b109107528fdd8,https://github.com/tidyverse/dplyr/issues/6561,4.2.2,14,2,1,3
9,https://github.com/tidyverse/dplyr/commit/5f42cbd3f052437496d108f7c07e233454e3549c,https://github.com/tidyverse/dplyr/commit/6246fc7226fed2f743027f79d6778573b92f104d,https://github.com/tidyverse/dplyr/issues/6522,4.2.2,8,4,1,4
10,https://github.com/tidyverse/dplyr/commit/6246fc7226fed2f743027f79d6778573b92f104d,https://github.com/tidyverse/dplyr/commit/375c03a89568847a06a0471ea1168d485a34455c,https://github.com/tidyverse/dplyr/issues/6535,4.2.2,3,1,1,1
11,https://github.com/tidyverse/dplyr/commit/28f4cc72b9729e260956c36aac18d1252ee9ade5,https://github.com/tidyverse/dplyr/commit/98f754ca20e501282912ded7f154de5b0e1e9ac8,https://github.com/tidyverse/dplyr/issues/6495,4.2.1,29,6,1,1
12,https://github.com/tidyverse/dplyr/commit/98f754ca20e501282912ded7f154de5b0e1e9ac8,https://github.com/tidyverse/dplyr/commit/9f3f03271e39c56faf646a39586c2177de81049b,https://github.com/tidyverse/dplyr/issues/6499,4.2.1,13,5,2,6
13,https://github.com/tidyverse/dplyr/commit/73ffdbf29bdb5763b2788c7b41c03a4813c929a8,https://github.com/tidyverse/dplyr/commit/6ccdd860a9522ea14cd8b5f489c34fa877d9c6a3,https://github.com/tidyverse/dplyr/issues/6178,4.2.1,1,1,1,1
14,https://github.com/tidyverse/dplyr/commit/13226c9adec28bf08d3b6baeaa3522eb5f5cb0a5,https://github.com/tidyverse/dplyr/commit/803f034b96bbed911addb56cf47e7a2db399cc08,https://github.com/tidyverse/dplyr/issues/6304,4.2.1,6,1,1,1
15,https://github.com/tidyverse/dplyr/commit/ee313a6e17cf91b2cee0f867dcc67383261bcaac,https://github.com/tidyverse/dplyr/commit/978d7e3767a09c04fdb51ba83f5c9808e2062c46,https://github.com/tidyverse/dplyr/issues/6402,4.2.1,38,13,1,8
16,https://github.com/tidyverse/dplyr/commit/ed2efb3984710afa4e50de3460bbbcc641938691,https://github.com/tidyverse/dplyr/commit/db4010feba6eed97b8307fb33c659cfb7ec3b143,https://github.com/tidyverse/dplyr/pull/6342,4.2.1,62,9,1,10
17,https://github.com/tidyverse/dplyr/commit/db4010feba6eed97b8307fb33c659cfb7ec3b143,https://github.com/tidyverse/dplyr/commit/cf8817088bc7522404cd548ce6257ba5ca64dbc1,https://github.com/tidyverse/dplyr/issues/6264,4.2.1,4,3,1,1
