id,fixed commit link,buggy commit link,issue link,R version,loc,hunk,changed files,failed tests
1,https://github.com/tidyverse/ggplot2/commit/4d7e202d1345f702814220c19d3e9fb5669b849d,https://github.com/tidyverse/ggplot2/commit/a417cf4cdeebc152650c28f0cf9021cc697e1686,https://github.com/tidyverse/ggplot2/issues/5462,4.3.2,4,2,1,1
2,https://github.com/tidyverse/ggplot2/commit/a417cf4cdeebc152650c28f0cf9021cc697e1686,https://github.com/tidyverse/ggplot2/commit/9d1f81cbbfbdbda1616a847518575d9c63e8d811,https://github.com/tidyverse/ggplot2/issues/3198,4.3.2,44,13,3,1
3,https://github.com/tidyverse/ggplot2/commit/abc70e280bf83c1e8cdbe53ba18fdf145d8dd33c,https://github.com/tidyverse/ggplot2/commit/aa41dcb686178ff89896efca6884947778974a0f,https://github.com/tidyverse/ggplot2/issues/4609,4.3.2,2,1,1,1
4,https://github.com/tidyverse/ggplot2/commit/aa41dcb686178ff89896efca6884947778974a0f,https://github.com/tidyverse/ggplot2/commit/e5abb05a8ae8a4268dbcffaa300fc82d353b59b1,https://github.com/tidyverse/ggplot2/issues/3532,4.3.2,5,1,1,2
5,https://github.com/tidyverse/ggplot2/commit/80db793d82418179ae407a353346b4eb56f02493,https://github.com/tidyverse/ggplot2/commit/e51ca467eaec2268e298e14068af1f11ee8a484e,https://github.com/tidyverse/ggplot2/issues/1903,4.3.2,45,7,2,1
6,https://github.com/tidyverse/ggplot2/commit/5f518d02af27160ab98fed736a472321d72d10d2,https://github.com/tidyverse/ggplot2/commit/44c249754f99259903ae8c279afe25b933344c69,https://github.com/tidyverse/ggplot2/issues/2724,4.3.2,3,1,1,1
7,https://github.com/tidyverse/ggplot2/commit/44c249754f99259903ae8c279afe25b933344c69,https://github.com/tidyverse/ggplot2/commit/091d92a88297c505fe7cfda8d0bffccc38dbc6d6,https://github.com/tidyverse/ggplot2/pull/5508,4.3.2,1,1,1,1
8,https://github.com/tidyverse/ggplot2/commit/091d92a88297c505fe7cfda8d0bffccc38dbc6d6,https://github.com/tidyverse/ggplot2/commit/9f3eb1aa896a0c42d01db04a33461ac3db88674e,https://github.com/tidyverse/ggplot2/issues/5204,4.3.2,3,2,1,1
9,https://github.com/tidyverse/ggplot2/commit/9f3eb1aa896a0c42d01db04a33461ac3db88674e,https://github.com/tidyverse/ggplot2/commit/0a434ea91836dcdaefb315e085419dd97eab7fd9,https://github.com/tidyverse/ggplot2/pull/5529,4.3.2,6,2,1,1
10,https://github.com/tidyverse/ggplot2/commit/4bbba833e91834f70bd3b069970f2fe6e2cbcc77,https://github.com/tidyverse/ggplot2/commit/4f05313b5e3cbfe71c2d3b9e9183780d66439843,https://github.com/tidyverse/ggplot2/pull/5456,4.3.2,75,25,3,5
