id,fixed commit link,buggy commit link,issue link,R version,loc,hunk,changed files,failed tests
1,https://github.com/tidyverse/tibble/commit/214bebfaeb06c6ebe8da78b7c299a558fc1d5484,https://github.com/tidyverse/tibble/commit/8d1ec06d20a3273204569b2ddcd9aa250b7100e4,https://github.com/tidyverse/tibble/issues/1150,4.2.2,21,9,2,3
2,https://github.com/tidyverse/tibble/commit/3029950a36b43eff909feebe2f34efee533ee860,https://github.com/tidyverse/tibble/commit/98259d2dc61518c472582a7577ac153b7bcf0a3a,https://github.com/tidyverse/tibble/issues/781,4.1.0,17,5,1,2
3,https://github.com/tidyverse/tibble/commit/46f03f328131e263f99b7419b754801ae238dc05,https://github.com/tidyverse/tibble/commit/03da99575bf48ae533434d240d96af3ab494d67d,https://github.com/tidyverse/tibble/issues/730,4.1.0,15,9,2,4
4,https://github.com/tidyverse/tibble/commit/03da99575bf48ae533434d240d96af3ab494d67d,https://github.com/tidyverse/tibble/commit/276f7f58364b950f62d2a39802e1e65605e22183,https://github.com/tidyverse/tibble/pull/902,4.1.0,7,4,1,2
5,https://github.com/tidyverse/tibble/commit/6b6b90bbf6b3b6507e5e24f29f171819fc7c50de,https://github.com/tidyverse/tibble/commit/cd15fe6f54bb7cc17b2e8cc55a73c7efcff1ddad,https://github.com/tidyverse/tibble/issues/871,4.0.5,6,2,1,2
6,https://github.com/tidyverse/tibble/commit/80f1be598d04b4963cdaccb4ceb308e9929c16a7,https://github.com/tidyverse/tibble/commit/b6cd955e18fa310a7f1733826fcf677d28356a5a,https://github.com/tidyverse/tibble/issues/846,4.0.3,5,3,1,1
7,https://github.com/tidyverse/tibble/commit/6b3b2fba06353dec9cd1d7e624e6f5c01e2cc6c5,https://github.com/tidyverse/tibble/commit/b4eec19dd1ca8dd873f7cf8b9ba80bcb719bd41c,https://github.com/tidyverse/tibble/issues/809,4.0.2,5,1,1,1
8,https://github.com/tidyverse/tibble/commit/b065154d44c2466b733e019ee615ef24b4672d84,https://github.com/tidyverse/tibble/commit/2b20fa2698bf55a40ce3eda7bf7b51e3867ed740,https://github.com/tidyverse/tibble/issues/775,4.0.1,1,1,1,1
9,https://github.com/tidyverse/tibble/commit/2f48cb3cea9164fad496ec19a8a7b4b3c4d15c9e,https://github.com/tidyverse/tibble/commit/01d7686eb9e8f3f7395b85f087e740f0c5768054,https://github.com/tidyverse/tibble/issues/748,3.6.3,1,1,1,1
10,https://github.com/tidyverse/tibble/commit/5e811c963f6b679d925c2329144dc0b6c14ea66c,https://github.com/tidyverse/tibble/commit/4eb9dd8430aa7b1766fde76a951d00066edc4f25,https://github.com/tidyverse/tibble/issues/681,3.6.3,10,2,1,3
11,https://github.com/tidyverse/tibble/commit/9e46705812ad154e9df25d66e7c1e87323c1d43c,https://github.com/tidyverse/tibble/commit/a53ffb481d344dd3ea95438117e193f468c60ebe,https://github.com/tidyverse/tibble/issues/686,3.6.2,15,7,1,1
12,https://github.com/tidyverse/tibble/commit/f4226a69e008f969b6d14994372227f25f5cdcdb,https://github.com/tidyverse/tibble/commit/10a25b9a1447901b469364f39081bfa15a7f270e,https://github.com/tidyverse/tibble/issues/647,3.6.2,4,2,1,1
13,https://github.com/tidyverse/tibble/commit/e30e4efd935fb5de0933d61fcb85b1341a53ae28,https://github.com/tidyverse/tibble/commit/e9663b93e2b85598daa82fd6b6ba6347b8eab595,https://github.com/tidyverse/tibble/issues/567,3.6.1,6,3,2,2
14,https://github.com/tidyverse/tibble/commit/1be2f3f589651ea1eb08678100819618858f8150,https://github.com/tidyverse/tibble/commit/ff2ac7c712799ee329a9757a9ecf1660d9d07951,https://github.com/tidyverse/tibble/issues/630,3.6.1,4,2,2,2
15,https://github.com/tidyverse/tibble/commit/ff2ac7c712799ee329a9757a9ecf1660d9d07951,https://github.com/tidyverse/tibble/commit/e49551a4b79d4fdde585e3c64c3b8345367a150c,https://github.com/tidyverse/tibble/issues/666,3.6.1,1,1,1,1
16,https://github.com/tidyverse/tibble/commit/be2cfac561447daff2f45d60bbb8f1705e7fd41f,https://github.com/tidyverse/tibble/commit/6e62958b4b8a79def967dba7faf363abb3481d62,https://github.com/tidyverse/tibble/issues/658,3.6.1,16,4,1,3
17,https://github.com/tidyverse/tibble/commit/a5a20bfaea3771c03c8651c4b8f8750d49073b1c,https://github.com/tidyverse/tibble/commit/30d8d8ecfa178c8a32e32a0d4de76e269eb9b8f1,https://github.com/tidyverse/tibble/issues/575,3.5.2,6,2,1,1
18,https://github.com/tidyverse/tibble/commit/ee4002c49df2fffbee085381f0314e104881890f,https://github.com/tidyverse/tibble/commit/86b8afaffd88f4dfa1a5ba4899bc242560eccb9e,https://github.com/tidyverse/tibble/issues/577,3.5.2,1,1,1,2
19,https://github.com/tidyverse/tibble/commit/434e9b6626033c21a427eafe5cf82e14e9b80bfa,https://github.com/tidyverse/tibble/commit/c28fe199cf03df685d2680671268288a9da788ce,https://github.com/tidyverse/tibble/issues/558,3.5.2,9,8,1,1
